Feature,Coefficient,OddsRatio,CI_low,CI_high
Hypertension,1.718921425206441,5.578508379779879,0.8662591912271639,35.92430078483708
BMI,0.5345808259051673,1.7067326741670712,0.265030141627802,10.990962775699286
Ethnicity_No caste / tribe,0.2073729470929181,1.2304413757547246,0.1910692031721542,7.923757225307894
Married_age,0.19136338232213854,1.210899391576128,0.18803462434622922,7.797911377319381
HealthInsurance,0.1698253124372352,1.185097811388932,0.1840280235734569,7.631755182102643
Res_Age,0.1608048015710011,1.1744556945311084,0.18237546147000672,7.563222416538718
ResidenceType_Urban,0.1520043409681293,1.1641652900255648,0.18077751505180592,7.4969545969913405
Edu_level,0.08210287502289612,1.085567481864871,0.16857244712069042,6.990802932573637
Religion_Sikh,0.07109326264406822,1.0736813555612112,0.16672670889504693,6.91425903455836
Wealth_Idx_Lb,0.02806940094775809,1.0284670585332811,0.1597056025869006,6.623089443042856
Smoke_atHome,-0.027156211220712864,0.9732092034519393,0.15112488143477076,6.267241665909036
Years_Married,-0.0308245800076501,0.969645653390946,0.15057151523298773,6.244293229599974
Ethnicity_Tribe,-0.08236667781760516,0.920934210631259,0.1430073543254837,5.930602830262182
Religion_Muslim,-0.09392065165914507,0.910354994533378,0.14136455977237602,5.862475131010959
Smoke,-0.307089447052062,0.7355848020724544,0.11422535422406606,4.736995605884239
Betel_Leaf,-0.39502340463817515,0.673664272195815,0.10461001899830603,4.338241747575497
Religion_Other,-0.5966785714891117,0.5506375052776733,0.08550579608522559,3.545977888051141
Alcohol,-1.6552582271067027,0.1910427169273851,0.029666086019554692,1.2302708104783155
Tobacco,-3.303535605077625,0.03675299334492793,0.0057071919808446845,0.23668075725260532
